# GLM-5.2 MXFP4 / MI355X — tuning campaign progress
# throughput_per_gpu_tps = (input+output) tok/s per GPU
# output_tps = output-only tok/s TOTAL across all GPUs (= output_per_chip * tp)
# itl_* values in ms. intvty_p90 = 1/ITL_p90 (tok/s/user floor, higher=better)
# dataset_ok: False = 256k-capped ISL (p90~170k); True = unfiltered (p90~283k)
date,run_id,job_url,branch,runner,image,framework,tp,ep,conc,max_running_requests,chunked_prefill_size,kv_offload,hicache_ratio,mtp,spec_steps,spec_draft_tokens,duration_s,requests_ok,throughput_per_gpu_tps,output_tps,ttft_mean_s,ttft_p50_s,ttft_p90_s,itl_mean_ms,itl_p50_ms,itl_p90_ms,intvty_mean,intvty_p50,intvty_p90,gpu_cache_hit_rate,cpu_cache_hit_rate,kv_gpu_usage_pct,kv_cpu_usage_pct,dataset_ok,notes
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,8,1,1,1,,none,,mtp,5,6,,,,110.8,,,,5.54,5.6,,180.51,178.57,157.98,,,,,True,ATOM TP=8/EP=1 GPU-KV reference
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,8,1,2,2,,none,,mtp,5,6,,,,136.3,,,,5.83,5.69,,171.53,175.75,138.31,,,,,True,ATOM TP=8/EP=1 GPU-KV reference
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,8,1,4,4,,none,,mtp,5,6,,,,182.4,,,,6.21,5.86,,161.03,170.65,123.3,,,,,True,ATOM TP=8/EP=1 GPU-KV reference
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,4,1,2,2,,lmcache,,mtp,5,6,,,,132.4,,,,6.15,5.92,,162.6,168.92,128.21,,,,,True,ATOM TP=4/EP=1 LMCache reference
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,4,1,4,4,,lmcache,,mtp,5,6,,,,171.3,,,,7.07,6.82,,141.44,146.63,104.93,,,,,True,ATOM TP=4/EP=1 LMCache reference
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,4,1,8,8,,lmcache,,mtp,5,6,,,,302.6,,,,9.97,9.17,,100.5,109.17,69.93,,,,,True,ATOM TP=4/EP=1 LMCache reference
2026-08-25,31765309673,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673,upstream/main,upstream,atom-engine,atom,4,1,10,10,,lmcache,,mtp,5,6,,,,359.8,,,,11.47,10.53,,87.18,94.97,64.85,,,,,True,ATOM TP=4/EP=1 LMCache reference
2026-08-05,31006984179,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31006984179,upstream/main,upstream,sglang-upstream,sglang,4,4,1,1,,hicache,1.5,mtp,5,6,,,,97.8,3.028,0.933,,7.06,6.77,,141.64,147.71,110.13,,,,,True,SGLang PR#2570 upstream cluster
2026-08-05,31006984179,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31006984179,upstream/main,upstream,sglang-upstream,sglang,4,4,2,2,,hicache,1.5,mtp,5,6,,,,122.2,1.409,0.703,,7.91,7.75,,126.42,129.03,98.04,,,,,True,SGLang PR#2570 upstream cluster
2026-08-05,31006984179,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31006984179,upstream/main,upstream,sglang-upstream,sglang,4,4,4,4,,hicache,1.5,mtp,5,6,,,,163.6,1.175,0.593,,9.98,8.62,,100.2,116.01,80.58,,,,,True,SGLang PR#2570 upstream cluster
2026-08-05,31006984179,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31006984179,upstream/main,upstream,sglang-upstream,sglang,4,4,8,8,,hicache,1.5,mtp,5,6,,,,302.5,1.082,0.591,,12.41,11.31,,80.58,88.42,57.54,,,,,True,SGLang PR#2570 upstream cluster
2026-08-05,31006984179,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31006984179,upstream/main,upstream,sglang-upstream,sglang,4,4,10,10,,hicache,1.5,mtp,5,6,,,,358.2,1.436,0.68,,14.9,12.95,,67.11,77.22,47.96,,,,,True,SGLang PR#2570 upstream cluster
2026-08-25,32867048910,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32867048910,testgg,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,10,10,32768,hicache,1.5,mtp,5,6,3600.96,1405,9584.16,366.53,1.341,0.577,3.5,14.82,11.86,18.42,67.48,84.33,54.3,0.889,0.004,61,100,True,mia1 TP=4/EP=4 HiCache=1.5 first run
2026-08-26,32947505370,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32947505370,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,8,4,4,32768,none,,mtp,5,6,,,,188.8,,,,,7.3,9.6,,,105.0,,,,,True,mia1 baseline TP=8/EP=8 no-KV
2026-08-26,32947505370,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32947505370,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,8,6,6,32768,none,,mtp,5,6,,,,244.8,,,,,8.3,11.8,,,85.0,,,,,True,mia1 baseline TP=8/EP=8 no-KV
2026-08-26,32947505370,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32947505370,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,8,8,8,32768,none,,mtp,5,6,,,,325.6,,,,,8.8,12.2,,,82.0,,,,,True,mia1 baseline TP=8/EP=8 no-KV
2026-08-26,32947505370,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32947505370,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,8,10,10,32768,none,,mtp,5,6,,,,384.8,,,,,9.5,14.9,,,67.0,,,,,True,mia1 baseline TP=8/EP=8 no-KV
2026-08-26,32947505370,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32947505370,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,4,4,10,10,32768,hicache,1.5,mtp,5,6,,,,364.0,,0.509,,,11.9,19.4,,,52.0,0.959,,61,100,True,mia1 baseline TP=4/EP=4 HiCache arm (same run)
2026-08-27,32986446019,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32986446019,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,1,4,4,32768,none,,mtp,5,6,,,,190.0,,,,,6.95,9.05,,,110.5,,,,,True,I-8 TP=8/EP=1 no-KV
2026-08-27,32986446019,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32986446019,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,1,6,6,32768,none,,mtp,5,6,,,,251.2,,,,,7.87,12.15,,,82.3,,,,,True,I-8 TP=8/EP=1 no-KV
2026-08-27,32986446019,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32986446019,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,1,8,8,32768,none,,mtp,5,6,,,,326.4,,,,,8.38,12.35,,,81.1,,,,,True,I-8 TP=8/EP=1 no-KV
2026-08-27,32986446019,https://github.com/giovanniguastiamd/InferenceX/actions/runs/32986446019,testgg-maxreq2x,mi355x-amds_03,v0.5.16-rocm720-mi35x-20260728,sglang,8,1,10,10,32768,none,,mtp,5,6,,,,384.8,,,,,9.27,14.25,,,70.2,,,,,True,I-8 TP=8/EP=1 no-KV
